factor_id,metric_id,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,polio,total_expenditure,diphtheria,gdp,population,income_composition_resources
1,1,3.07,86.52153895,79,79563,18.1,84,4.69,85,1573.12,1293859294,0.607
2,2,1.59,5.234770324,6,41144,14.4,67,4.23,64,118.17,1179681239,0.546
3,3,1.37,34.85942671,6,64185,13.9,66,4.25,65,792.26,1161977719,0.536
4,4,1.27,3.5096369,8,36711,13.5,65,4.28,65,77.82,1144118674,0.526
5,5,1.2,27.33800857,6,55443,13,58,4.22,63,621.32,1126135777,0.518
6,6,0,0,78,15099,27.4,8,0,78,3336.17,258162113,0.686
7,7,0.09,200.0684443,78,12943,26.5,8,2.85,78,3491.60,255131116,0.682
8,8,0.08,254.4688257,83,15489,24.7,84,2.9,83,3687.95,248883232,0.669
9,9,0.08,190.5453646,83,18869,22.9,82,2.74,81,3113.49,242524123,0.656
10,10,0.07,10.26341108,82,15369,21.3,83,2.81,77,216.53,236159276,0.641
11,11,0.06,102.633435,76,19456,2.5,77,3.1,73,1855.94,232989141,0.638
12,12,0.06,55.36107207,64,29171,18.2,79,2.37,71,1148.57,223614649,0.624
13,13,7.58,1084.999766,98,43,52.8,98,8.9,99,13167.47,198686688,0.724
14,14,7.52,1111.191325,96,68,52,99,8.27,99,11224.15,196796269,0.716
15,15,7.33,564.5233902,99,0,51.1,99,8.65,99,8553.38,194895996,0.714
16,16,6.97,23.76370075,98,6,47.8,99,8.27,99,477.18,186917361,0.694
17,17,0.01,62.29361092,72,1370,24.7,72,2.61,72,1316.99,185546257,0.542
18,18,6.85,186.6090485,96,0,46.9,99,7.7,99,3623.48,184738458,0.695
19,19,6.95,15.85781237,97,2,46.1,99,6.94,99,359.59,182482149,0.699
20,20,0.04,60.18648815,72,8749,23.9,72,2.7,72,1272.44,181712595,0.538
21,21,0,0,49,12423,25.4,49,0,49,2655.16,181181744,0.525
22,22,0.04,59.65900139,72,8046,23.2,72,2.76,72,1261.29,177911533,0.529
23,23,7.26,179.4777293,94,36,43.7,99,7.3,98,3739.12,175287587,0.677
24,24,0.04,57.87736282,74,4386,22.5,75,3.1,74,1226.22,174184265,0.525
25,25,1,19.00340606,0,51780,11.8,58,4.5,59,447.14,171477855,0.494
26,26,8.54,204.7186256,42,6447,23.5,42,3.3,42,2755.30,167297284,0.507
27,27,8.9,133.1230872,49,8491,22.2,54,3.47,54,2327.33,158578261,0.492
28,28,0.01,52.82986467,96,237,17,96,2.88,96,951.89,157571292,0.565
29,29,0.01,62.34988484,96,5625,15.8,96,3.16,96,835.79,153911916,0.545
30,30,0.01,46.36536703,95,2924,13.5,96,2.8,94,541.65,147139191,0.513
31,31,10.18,224.4600248,0,4800,54,97,5.42,96,1771.59,146596557,0.709
32,32,0.01,22.39387584,0,3903,17.4,71,2.76,68,499.86,144654143,0.457
33,33,11.32,333.2148711,94,3291,54.7,97,5.61,96,2975.13,144648257,0.733
34,34,10.12,1340.553699,97,4711,59.9,97,7.7,97,14125.96,143819666,0.803
35,35,11.57,625.5081805,97,454,55.3,98,5.21,98,5323.47,143518523,0.748
36,36,11.05,162.8088054,97,129,57.5,98,6.83,97,1674.99,142849449,0.773
37,37,11.21,137.0063357,98,101,57,98,7.44,98,8562.90,142785342,0.776
38,38,9.71,6.416252787,18,110927,19.3,45,4.11,36,87.89,138939478,0.463
39,39,0.02,18.84534312,0,2064,16.4,65,2.79,62,533.86,138523285,0.445
40,40,9.76,57.22555815,0,31521,18.8,43,4.33,33,648.82,135393616,0.445
41,41,9.75,30.19550849,0,141258,18.3,42,4.5,29,512.66,131972533,0
42,42,0.01,3.69633051,0,5098,1.4,83,2.33,82,45.63,131581243,0.459
43,43,3.11,67.67230438,7,13822,17.5,82,4.53,83,1452.20,127856227,0.599
44,44,3.1,64.96964491,73,18668,17,79,4.39,82,1446.99,126365852,0.59
45,45,9.58,15.830985,0,168107,17.3,36,3.25,27,351.80,125463434,0
46,46,3,64.6059005,44,33634,16.4,79,4.33,82,1461.67,124723629,0.58
47,47,5.23,150.408875,82,0,62.1,83,6.3,83,1298.87,122535969,0.753
48,48,2.5,0.844186331,37,56188,15.4,73,4.38,74,19.32,121427132,0.563
49,49,1.93,43.03043312,29,44258,14.9,69,4.34,7,991.48,119714696,0.556
50,50,5.21,1033.039737,93,0,6.1,95,6.39,95,8959.58,117318941,0.739
51,51,5.35,105.7476131,98,0,57.9,98,5.92,98,933.34,111836346,0.731
52,52,0.01,89.95805845,77,12739,17.2,75,4.88,77,571.16,97366774,0.435
53,53,5.02,212.7418488,88,1536,23.7,88,4.46,88,2581.82,96866642,0.666
54,54,1.86,8.313282039,72,5253,16.8,7,5.19,72,52.15,94887724,0.427
55,55,4.85,198.2563794,77,6368,22.6,78,4.37,79,2129.50,93726624,0.662
56,56,1.84,86.82551124,69,4347,16.4,7,5.77,69,468.57,92444183,0.422
57,57,4.22,105.7306982,49,118,2.1,9,3.91,89,1194.70,86274237,0.642
58,58,1.17,53.77354001,56,1176,15.3,65,4.41,58,379.76,85416253,0.393
59,59,4.45,13.39905105,48,3025,19.6,85,3.23,88,179.37,84678493,0.636
60,60,1.13,38.55783268,52,3511,14.9,63,4.28,54,325.38,83184892,0.378
61,61,11.92,582.6157028,9,779,56.6,96,1.62,97,3359.95,82534176,0.872
62,62,12.25,437.1059663,87,4657,56.1,97,1.4,93,2525.16,82488495,0.867
63,63,11.67,6012.92584,9,778,57.6,95,1.52,96,34696.63,82469422,0.884
64,64,11.76,6407.535954,87,2307,58,94,1.34,96,36447.87,82376451,0.892
65,65,12.46,4057.637383,86,6024,55.6,96,1.15,93,23687.32,82349925,0.86
66,66,11.5,7777.556353,86,567,58.5,95,1.18,96,41814.82,82266372,0.898
67,67,0,0,88,2464,62.3,94,,95,41176.88,81686611,0.924
68,68,4.54,69.0204245,45,7360,18.3,76,3,79,957.29,79665315,0.622
69,69,0,0,97,342,66.1,97,,97,1979.53,78271472,0.764
70,70,4.73,11.69704463,7,7120,17.8,74,3.21,78,138.92,77991569,0.618
71,71,1.41,188.1440348,97,7405,64.5,98,5.38,98,12542.94,75787333,0.754
72,72,1.54,20.75120211,97,349,63.7,97,5.24,97,1172.38,74569867,0.75
73,73,0.79,10.97201912,0,228,13.2,55,4.64,37,118.87,72545144,0.306
74,74,1.49,32.78235828,96,7,61.9,97,5.61,97,1672.57,72326914,0.715
75,75,1.4,106.9482898,94,4,61.1,96,6.8,96,936.50,71339185,0.709
76,76,1.26,115.5801103,96,3,59.3,96,6.4,96,979.49,69597281,0.697
77,77,0.85,1.186227577,0,2366,12.6,55,4.26,32,12.18,68492257,0.283
78,78,6.41,789.0772949,99,0,32.4,99,4.12,99,5941.85,68416772,0.737
79,79,6.56,801.0504655,98,5197,3.1,99,4.17,99,5859.92,67843979,0.729
80,80,5.88,547.2101411,98,6071,26.8,99,4.11,99,4212.55,66881867,0.706
81,81,0.88,11.59481766,0,1660,12.3,55,4.36,3,123.88,66537331,0
82,82,11.5,6739.677606,83,267,62,98,11.54,98,42955.24,66331957,0.89
83,83,6.2,520.7639087,96,3893,24.6,98,3.56,98,3972.26,66195615,0.687
84,84,6.18,433.9210918,96,3588,23.6,98,3.49,98,3368.95,65824164,0.686
85,85,11.8,683.9190568,74,14949,6.6,99,11.33,99,4381.29,65342776,0.882
86,86,6.14,282.8364612,96,4519,2.9,98,3.58,98,2358.94,64554952,0.666
87,87,1.49,256.4341746,77,30509,54.3,88,5.16,88,3119.64,64191474,0.653
88,88,12.4,5689.991931,39,40,58,99,1.53,99,36544.59,63621376,0.87
89,89,5.92,176.0625201,95,7319,19.4,97,3.32,96,1893.15,63543322,0.649
90,90,12.2,5451.701225,35,36,57.5,98,1.6,98,34879.73,63179356,0.86
91,91,13.49,4572.441963,28,0,56.4,96,1.43,97,29691.18,62244884,0.852
92,92,13.89,3451.185079,28,0,55.2,98,9.89,97,22527.32,61357431,0.849
93,93,7.49,4793.904924,96,376,62.1,96,9.28,97,34814.12,59539717,0.877
94,94,6.98,5439.691769,96,5189,61.5,96,9.27,96,38334.68,59379449,0.872
95,95,6.95,5219.668802,96,372,61,96,9.42,96,35849.37,59277417,0.869
96,96,7.96,66.37840495,96,1617,59.9,96,8.89,96,464.18,58826731,0.866
97,97,8.44,473.1915451,96,439,58.8,97,8.82,96,3341.75,58143979,0.856
98,98,8.65,4506.255963,96,135,58.2,97,8.71,95,31959.26,57969484,0.851
99,99,8.98,4270.914882,96,599,57.6,97,8.49,94,31174.56,57685327,0.846
100,100,7.38,922.0507313,8,66,5.3,77,8.8,77,6479.63,54146735,0.66
101,101,7.34,978.5905287,7,25,49.5,73,8.78,73,6876.95,53311956,0.652
102,102,0.01,45.33788677,88,122,22.9,88,2.28,88,1262.89,51924182,0.547
103,103,7.38,123.753335,76,92,47.9,69,8.61,69,849.95,51729345,0.638
