metric_id,country_id,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,hiv_aids,schooling
1,1,2000,62.5,224,1800,2500,0.3,8.3
2,2,2001,62.9,222,1800,2400,0.3,8.3
3,3,2002,63.3,219,1700,2300,0.3,8.4
4,4,2003,63.7,216,1700,2200,0.3,8.6
5,5,2004,64,214,1600,2100,0.3,9.2
6,6,2005,64.4,211,1500,2000,0.3,9.4
7,7,2006,64.8,28,1500,2000,0.3,9.7
8,8,2007,65.2,26,1400,1900,0.3,9.9
9,9,2008,65.5,23,1300,1800,0.3,10.2
10,10,2009,66,2,1300,1700,0.2,10.5
11,11,2010,66.4,196,1200,1600,0.2,10.4
12,12,2011,66.8,193,1100,1500,0.2,10.8
13,13,2012,67.3,19,1100,1400,0.2,11.3
14,14,2013,67.6,187,1000,1300,0.2,11.5
15,15,2014,68,184,957,1200,0.2,11.6
16,16,2015,68.3,181,910,1100,0.2,11.6
17,17,2000,47.1,45,576,943,4.9,7.6
18,18,2001,47.4,48,574,936,5.1,8
19,19,2002,47.7,49,571,928,5.3,7.7
20,20,2003,48.1,41,567,918,5.4,8.1
21,21,2004,48.5,47,563,907,5.4,8.5
22,22,2005,49.2,4,556,893,5.4,8.9
23,23,2006,49.8,396,549,879,5.3,9
24,24,2007,55,388,542,863,5.2,9.1
25,25,2008,59,386,536,848,5,9.2
26,26,2009,51.6,376,527,832,4.9,9.3
27,27,2010,52,374,521,817,4.8,9.5
28,28,2011,52.3,375,513,802,4.7,9.6
29,29,2012,52.7,374,505,788,4.4,9.7
30,30,2013,53.2,367,498,773,3.9,9.8
31,31,2014,53.6,362,490,759,3.9,10
32,32,2000,71.7,115,490,608,0.1,9.5
33,33,2015,54.5,344,483,747,3.7,10
34,34,2001,72.2,11,457,558,0.1,9.6
35,35,2002,72.7,16,422,511,0.1,9.7
36,36,2003,73.1,13,391,467,0.1,9.9
37,37,2000,62.8,19,385,495,0.1,5.3
38,38,2001,63,189,377,483,0.1,5.4
39,39,2010,65.1,172,372,461,0.1,7.5
40,40,2002,63.2,187,371,474,0.1,5.5
41,41,2009,64.8,175,371,460,0.1,7.3
42,42,2011,65.5,167,371,459,0.1,7.5
43,43,2008,64.6,177,369,460,0.1,7.3
44,44,2012,65.7,165,369,456,0.1,7.6
45,45,2007,64.4,178,367,459,0.1,6.7
46,46,2003,63.5,185,366,466,0.1,5.6
47,47,2006,64.2,179,365,458,0.1,6.5
48,48,2013,66,163,365,450,0.1,7.7
49,49,2004,63.7,183,364,461,0.1,5.6
50,50,2005,62.9,2,364,459,0.1,6.1
51,51,2004,73.5,11,360,427,0.1,10.2
52,52,2014,66.2,162,359,442,0.1,7.8
53,53,2015,66.4,161,352,433,0.1,8.1
54,54,2005,73.9,99,332,392,0.1,10.6
55,55,2006,74.2,98,307,360,0.1,11
